  0%|          | 0/1458 [00:00<?, ?it/s][transformers] Casting fp32 inputs back to torch.bfloat16 for flash-attn compatibility.
                                                    
{'loss': '0.1791', 'grad_norm': '0.4916', 'learning_rate': '1.527e-05', 'epoch': '2.274'}
{'loss': '0.1862', 'grad_norm': '0.4426', 'learning_rate': '1.487e-05', 'epoch': '2.284'}
{'loss': '0.1869', 'grad_norm': '0.4393', 'learning_rate': '1.446e-05', 'epoch': '2.294'}
{'loss': '0.1902', 'grad_norm': '0.4344', 'learning_rate': '1.407e-05', 'epoch': '2.305'}
{'loss': '0.1461', 'grad_norm': '0.4546', 'learning_rate': '1.368e-05', 'epoch': '2.315'}
{'loss': '0.1996', 'grad_norm': '0.5639', 'learning_rate': '1.329e-05', 'epoch': '2.325'}
{'loss': '0.1692', 'grad_norm': '0.3464', 'learning_rate': '1.291e-05', 'epoch': '2.336'}
{'loss': '0.2103', 'grad_norm': '0.3545', 'learning_rate': '1.253e-05', 'epoch': '2.346'}
{'loss': '0.1748', 'grad_norm': '0.3934', 'learning_rate': '1.216e-05', 'epoch': '2.356'}
{'loss': '0.1616', 'grad_norm': '0.4991', 'learning_rate': '1.179e-05', 'epoch': '2.366'}
{'loss': '0.1612', 'grad_norm': '0.3541', 'learning_rate': '1.142e-05', 'epoch': '2.377'}
{'loss': '0.1615', 'grad_norm': '0.4468', 'learning_rate': '1.107e-05', 'epoch': '2.387'}
{'loss': '0.1991', 'grad_norm': '0.4128', 'learning_rate': '1.071e-05', 'epoch': '2.397'}
{'loss': '0.2008', 'grad_norm': '0.5347', 'learning_rate': '1.036e-05', 'epoch': '2.408'}
{'loss': '0.1611', 'grad_norm': '0.541', 'learning_rate': '1.002e-05', 'epoch': '2.418'}
{'loss': '0.1655', 'grad_norm': '0.4073', 'learning_rate': '9.683e-06', 'epoch': '2.428'}
{'loss': '0.1719', 'grad_norm': '0.3986', 'learning_rate': '9.35e-06', 'epoch': '2.438'}
{'loss': '0.1523', 'grad_norm': '0.4797', 'learning_rate': '9.023e-06', 'epoch': '2.449'}
{'loss': '0.1814', 'grad_norm': '0.4527', 'learning_rate': '8.7e-06', 'epoch': '2.459'}
{'loss': '0.1565', 'grad_norm': '0.4525', 'learning_rate': '8.383e-06', 'epoch': '2.469'}
{'loss': '0.1844', 'grad_norm': '0.5911', 'learning_rate': '8.072e-06', 'epoch': '2.48'}
{'loss': '0.1784', 'grad_norm': '0.4139', 'learning_rate': '7.765e-06', 'epoch': '2.49'}
{'loss': '0.174', 'grad_norm': '0.5646', 'learning_rate': '7.465e-06', 'epoch': '2.5'}
{'loss': '0.1459', 'grad_norm': '0.4222', 'learning_rate': '7.169e-06', 'epoch': '2.511'}
{'loss': '0.1604', 'grad_norm': '0.5101', 'learning_rate': '6.879e-06', 'epoch': '2.521'}
{'loss': '0.1783', 'grad_norm': '0.3838', 'learning_rate': '6.595e-06', 'epoch': '2.531'}
